yyyy/mmdd(or -ddd)/hh.h):2018/1207/11.0UT  geog Lat/Long/Alt= 76.0/   5.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  59943.6   NmF1=      0.0   NmE=   4053.1
Peak Heights/km:     hmF2=   220.63   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              98.9
Dip (Magnetic Inclination)/degree                      81.24
Modip (Modified Dip)/degree                            70.87
Solar Sunspot Number (12-months running mean) Rz12      4.3           
Ionospheric-Effective Solar Index IG12                -11.3           
Solar radio flux F10.7 (daily)                         68.1           
Solar radio flux F10.7 (81-day average)                67.8           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 1500.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
  85.0     493  0.008   225   225   225   0   0   0   0   4 996  -1   1.3  75
  86.0     628  0.010   224   224   224   0   0   0   0   5 995  -1   1.3  75
  87.0     941  0.016   223   223   223   0   0   0   0   7 993  -1   1.3  75
  88.0    1325  0.022   222   222   222   0   0   0   0  10 990  -1   1.3  75
  89.0    1671  0.028   220   220   220   0   0   0   0  13 987  -1   1.3  75
  90.0    2025  0.034   217   217   217   0   0   0   0  16 984  -1   1.3  75
  91.0    2369  0.040   214   214   214   0   0   0   0  18 982  -1   1.3  75
  92.0    2690  0.045   211   211   211   0   0   0   0  21 979  -1   1.3  75
  93.0    2979  0.050   207   207   207   0   0   0   0  25 975  -1   1.3  75
  94.0    3229  0.054   203   203   203   0   0   0   0  29 971  -1   1.3  75
  95.0    3438  0.057   200   200   200   0   0   0   0  33 967  -1   1.3  75
  96.0    3607  0.060   197   197   197   0   0   0   0  36 964  -1   1.3  75
  97.0    3739  0.062   194   194   194   0   0   0   0  40 960  -1   1.3  75
  98.0    3840  0.064   192   192   192   0   0   0   0  43 957  -1   1.3  75
  99.0    3914  0.065   190   190   190   0   0   0   0  46 954  -1   1.3  75
 100.0    3966  0.066   189   189   189   0   0   0   0  50 950  -1   1.3  75
 101.0    4002  0.067   189   189   189   0   0   0   0  52 948  -1   1.3  75
 102.0    4024  0.067   190   190   190   0   0   0   0  55 945  -1   1.3  75
 103.0    4038  0.067   192   192   192   0   0   0   0  57 943  -1   1.3  75
 104.0    4046  0.068   194   194   194   0   0   0   0  60 940  -1   1.3  75
 105.0    4050  0.068   197   197   197   0   0   0   0  62 938  -1   1.3  75
 106.0    4052  0.068   201   201   201   0   0   0   0  64 936  -1   1.3  75
 107.0    4053  0.068   206   206   206   0   0   0   0  66 934  -1   1.3  75
